Longitude,Latitude,species_tree,sc,b_nisc,g_nisc,p_nisc,nisc,nisc_count,category,country,region,subregion
-139.6382298,-9.285653468,Collocalia_ocista,0,0,0,0,0,0,absence,French Polynesia,Oceania,Polynesia
153.927868,-13.65189065,Collocalia_spodiopygia,0,0,0,0,0,0,absence,Papua New Guinea,Oceania,Melanesia
121.1224281,-0.199724914,Collocalia_sumbawae,1,0,0,0,0,0,sc,Philippines,Asia,South-Eastern Asia
122.9301234,11.79863369,Collocalia_troglodytes,0,0,0,0,0,0,absence,Philippines,Asia,South-Eastern Asia
121.1224281,-0.199724914,Collocalia_uropygialis,1,0,0,0,0,0,sc,Philippines,Asia,South-Eastern Asia
122.4300066,13.11330776,Collocalia_whiteheadi,0,0,0,0,0,0,absence,Philippines,Asia,South-Eastern Asia
-17.01794815,28.30202513,Columba_bollii,1,1,0,0,1,1,blue,Spain,Europe,Southern Europe
129.2064956,30.19427149,Columba_janthina,1,0,0,0,0,0,sc,Japan,Asia,Eastern Asia
-17.50231551,28.46940677,Columba_junoniae,1,0,0,0,0,0,sc,Spain,Europe,Southern Europe
153.2088448,-6.174723783,Columba_pallidiceps,1,0,0,0,0,0,sc,Papua New Guinea,Oceania,Melanesia
92.96435779,11.22462123,Columba_palumboides,1,0,0,0,0,0,sc,India,Asia,Southern Asia
43.94820921,-12.06304448,Columba_pollenii,1,0,0,0,0,0,sc,Mayotte,Africa,Eastern Africa
89.55653999,21.67648863,Columba_punicea,1,0,0,0,0,0,sc,Bangladesh,Asia,Southern Asia
137.0720883,-1.846808417,Columba_vitiensis,1,0,0,0,0,0,sc,Australia,Oceania,Australia and New Zealand
70.99751668,2.672035893,Coturnix_chinensis,1,1,0,0,1,1,blue,Ethiopia,Africa,Eastern Africa
-77.76393194,3.410109116,Crypturellus_berlepschi,0,0,0,0,0,0,absence,Colombia,Americas,South America
-94.16525828,18.70737193,Crypturellus_cinnamomeus,0,0,0,0,0,0,absence,Mexico,Americas,Central America
-80.41116829,-3.00167979,Crypturellus_transfasciatus,0,0,0,0,0,0,absence,Panama,Americas,Central America
